                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8418,                 2.4804,                 1.7604,                0.34238,                 0.3617,                 0.3104,                0.12798,                 2.0633,                 2.7285,                 2.0918,             0.00054913,             0.00054913,             0.00054913
                      2,                 1.7425,                 1.8923,                 1.6823,                0.38313,                0.39119,                0.30717,                0.15015,                 2.0524,                  3.009,                 2.1614,              0.0010829,              0.0010829,              0.0010829
                      3,                 1.7762,                 1.8846,                  1.742,                0.56999,                0.29856,                0.37538,                0.16809,                 2.0094,                 3.4157,                 2.0945,              0.0015947,              0.0015947,              0.0015947
                      4,                 1.7365,                  1.839,                 1.6792,                  0.516,                0.45727,                0.43954,                0.20372,                 1.9571,                 2.2781,                 1.8961,               0.001568,               0.001568,               0.001568
                      5,                 1.7015,                 1.7802,                 1.6579,                0.47275,                0.50021,                0.45193,                0.21251,                 1.9289,                 2.4214,                 1.8941,               0.001568,               0.001568,               0.001568
                      6,                 1.6715,                 1.6889,                 1.6088,                0.49211,                0.52365,                0.48421,                0.23381,                 1.9412,                 1.8767,                 1.8222,               0.001535,               0.001535,               0.001535
                      7,                 1.6374,                 1.6732,                  1.602,                0.47946,                0.52034,                0.46858,                0.23526,                 1.8946,                  1.973,                 1.8559,               0.001502,               0.001502,               0.001502
                      8,                  1.598,                 1.5983,                 1.5796,                0.51588,                 0.4924,                0.50135,                0.24961,                 1.8189,                 1.9449,                 1.8154,               0.001469,               0.001469,               0.001469
                      9,                 1.5773,                 1.5867,                  1.567,                0.50969,                0.51111,                0.46762,                0.24035,                 1.8782,                 1.8755,                 1.8624,               0.001436,               0.001436,               0.001436
                     10,                   1.56,                 1.5447,                 1.5606,                0.47447,                0.61313,                0.49736,                   0.25,                 1.8248,                 1.8851,                  1.781,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.5456,                 1.5163,                 1.5432,                0.62637,                0.50929,                0.55093,                0.26217,                 1.9152,                 1.7953,                 1.8594,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.5324,                  1.473,                 1.5169,                0.51156,                0.60675,                0.57424,                0.29232,                 1.8654,                 1.7608,                 1.7573,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.4929,                  1.406,                 1.4929,                0.61457,                0.48247,                0.50939,                0.26378,                 1.8927,                 1.7819,                  1.891,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.4792,                 1.4107,                 1.4945,                0.62962,                0.53104,                0.54852,                0.27903,                 1.8701,                 1.7631,                 1.7848,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.4627,                 1.3587,                 1.4839,                 0.5779,                0.61761,                0.58715,                  0.297,                 1.8677,                 1.6607,                  1.795,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.4103,                 1.3038,                  1.448,                0.62116,                0.54796,                0.53912,                0.28149,                 1.8316,                 1.6943,                 1.7962,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.4047,                  1.264,                 1.4366,                0.60056,                0.56774,                0.54146,                0.27847,                 1.8377,                 1.7113,                 1.8026,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.3542,                 1.2383,                 1.4172,                0.53138,                0.66281,                0.56206,                0.27473,                 1.9342,                 1.6734,                 1.8398,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.3541,                 1.2222,                 1.4201,                0.63173,                0.59017,                0.58469,                0.31339,                 1.8347,                 1.6098,                 1.7883,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.3463,                 1.1934,                 1.4065,                 0.6603,                0.52365,                0.57029,                0.28941,                 1.9008,                 1.7205,                 1.8682,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.2887,                 1.1448,                 1.3755,                0.67283,                0.55884,                0.57521,                0.30303,                 1.8825,                 1.6358,                 1.8052,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.2841,                 1.1214,                 1.3595,                0.63822,                0.57651,                0.56762,                0.29231,                 1.9023,                 1.6518,                 1.8613,              0.0010069,              0.0010069,              0.0010069
                     23,                  1.253,                 1.1002,                 1.3463,                0.62489,                0.59004,                0.57266,                0.30834,                 1.8738,                 1.6018,                 1.8182,             0.00097386,             0.00097386,             0.00097386
                     24,                 1.2444,                 1.0775,                 1.3333,                0.57599,                0.60895,                0.53867,                0.28153,                 1.9705,                 1.6393,                 1.8605,             0.00094085,             0.00094085,             0.00094085
